Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Survived
3,652,1,20.0,0,0,30,0
3,235,0,5.0,0,0,81,1
3,689,1,22.0,0,0,28,0
1,786,0,43.0,0,1,240,1
3,88,0,13.0,0,0,17,1
1,767,0,17.0,1,0,195,1
1,576,1,29.0,0,0,153,0
3,268,1,35.0,1,2,131,0
3,721,1,25.0,0,0,12,0
3,240,1,25.0,0,0,18,0
3,76,0,18.0,0,0,20,1
3,29,1,8.0,4,1,151,0
3,19,1,1.0,1,2,122,1
1,288,1,46.0,0,0,216,0
3,269,1,20.0,0,0,30,0
2,257,1,16.0,0,0,138,0
3,227,0,21.0,8,2,205,0
1,730,1,43.0,0,0,156,0
3,646,1,25.0,0,0,40,0
2,644,1,39.0,0,0,85,0
1,5,0,49.0,0,0,137,1
3,836,0,31.0,0,0,55,1
3,752,1,30.0,0,0,17,0
3,818,0,30.0,1,1,133,0
2,562,1,34.0,0,0,85,0
2,807,0,31.0,1,1,139,1
1,54,1,11.0,1,2,232,1
3,18,1,0.42,0,1,52,1
3,599,1,27.0,0,0,10,1
3,526,1,31.0,0,0,31,0
1,691,1,39.0,0,0,0,0
3,120,0,18.0,0,0,31,0
2,282,1,39.0,0,0,85,0
1,840,0,33.0,1,0,189,1
3,719,1,26.0,0,0,39,0
3,462,1,39.0,0,0,133,0
2,642,1,35.0,0,0,72,0
3,107,0,6.0,4,2,158,0
3,358,1,30.5,0,0,43,0
1,639,1,39.0,0,0,0,0
3,236,0,23.0,0,0,41,0
2,250,1,31.0,1,1,170,0
3,492,1,43.0,0,0,5,0
3,41,1,10.0,3,2,147,0
1,778,0,52.0,1,1,227,1
3,589,1,27.0,0,0,54,1
1,11,1,38.0,0,0,0,0
3,755,0,27.0,0,1,81,1
3,48,1,2.0,4,1,175,0
3,491,1,36.0,0,0,9,0
3,540,1,23.0,0,0,193,0
2,16,1,1.0,0,2,170,1
3,690,1,19.0,0,0,30,1
1,804,0,62.0,0,0,218,1
3,773,0,15.0,1,0,94,1
2,30,1,0.83,1,1,114,1
3,265,1,30.0,0,0,17,0
3,248,1,23.0,0,0,36,0
3,600,1,18.0,0,0,47,0
1,224,0,39.0,1,1,221,1
3,455,1,21.0,0,0,54,0
3,568,1,20.0,0,0,43,0
3,300,1,32.0,0,0,193,1
1,626,1,29.0,0,0,152,1
3,443,1,20.0,0,0,41,0
2,686,1,16.0,0,0,72,0
1,86,0,30.0,0,0,157,1
3,622,1,34.5,0,0,4,0
3,471,1,17.0,0,0,54,0
3,270,1,42.0,0,0,22,0
3,328,1,18.0,8,2,205,0
3,558,1,35.0,0,0,40,0
2,881,1,28.0,0,1,162,0
1,849,0,40.0,1,0,224,1
3,46,1,4.0,4,2,158,0
3,478,1,74.0,0,0,31,0
3,216,0,9.0,1,1,101,0
1,207,0,16.0,0,1,173,1
2,791,0,44.0,1,0,138,0
3,846,0,18.0,0,1,61,1
1,803,0,45.0,1,1,239,1
1,620,1,51.0,0,0,143,1
3,853,0,24.0,0,3,116,1
3,629,1,30.0,0,0,17,0
3,315,1,41.0,2,0,92,0
2,381,1,21.0,1,0,76,0
1,800,0,48.0,0,0,137,1
3,106,0,14.0,8,2,205,0
2,504,1,24.0,0,0,85,0
2,761,0,42.0,0,0,85,1
2,83,0,27.0,1,0,89,1
1,716,1,31.0,0,0,184,0
3,623,1,23.0,0,0,64,0
3,35,1,4.0,1,1,74,1
3,299,1,26.0,0,0,40,0
1,845,0,47.0,1,1,188,1
1,378,1,33.0,0,0,2,0
3,708,1,47.0,0,0,58,0
2,847,0,28.0,1,0,132,1
3,56,0,15.0,0,0,16,1
3,261,1,20.0,0,0,69,0
3,585,1,19.0,0,0,40,0
3,532,1,23.0,0,0,40,0
1,859,0,56.0,0,1,221,1
2,868,0,25.0,0,1,138,1
3,481,1,33.0,0,0,40,0
3,133,0,22.0,0,0,73,0
2,382,1,28.0,0,0,72,0
3,427,1,25.0,0,0,12,0
3,869,0,39.0,0,5,151,0
2,882,1,27.0,0,0,85,0
1,187,0,19.0,0,0,153,1
3,99,0,7.0,1,2,131,0
1,524,1,26.0,0,0,153,1
3,605,1,32.0,0,0,30,0
