Age,Workclass,Education,Marital Status,Occupation,Relationship,Capital Gain,Capital Loss,Hours per week,Country,Target
Age <= 28.00,Private,High School grad,Never-Married,Admin,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Dropout,Separated,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Local-gov,Associates,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,Admin,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Married,Sales,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-not-inc,Prof-School,Never-Married,Professional,Not-in-family,None,High,40.00 < Hours per week <= 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,Professional,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Masters,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-inc,Masters,Married,White-Collar,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,None,Low,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Self-emp-inc,Associates,Married,Sales,Husband,None,Low,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Married,Admin,Husband,Low,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
Age > 48.00,Local-gov,Masters,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,Bachelors,Never-Married,Sales,Unmarried,None,None,40.00 < Hours per week <= 45.00,SE-Asia,"Less than $50
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-not-inc,High School grad,Separated,Blue-Collar,Not-in-family,None,None,Hours per week > 45.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,White-Collar,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Masters,Married,Sales,Husband,Low,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Local-gov,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Bachelors,Married,Professional,Husband,None,None,Hours per week <= 40.00,British-Commonwealth,"More than $50
Age > 48.00,Private,High School grad,Separated,Admin,Unmarried,None,None,Hours per week <= 40.00,British-Commonwealth,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,Blue-Collar,Unmarried,None,None,Hours per week > 45.00,United-States,"Less than $50
37.00 < Age <= 48.00,State-gov,Bachelors,Separated,Professional,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,Other,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Self-emp-not-inc,High School grad,Married,Service,Wife,None,High,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,Dropout,Separated,Sales,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,Sales,Husband,High,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Self-emp-not-inc,Bachelors,Married,White-Collar,Husband,None,High,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age > 48.00,Self-emp-not-inc,High School grad,Married,Sales,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-inc,Bachelors,Married,Sales,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Never-Married,Service,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Self-emp-not-inc,Dropout,Married,Service,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Separated,Professional,Not-in-family,High,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Self-emp-not-inc,Dropout,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
28.00 < Age <= 37.00,Self-emp-not-inc,Bachelors,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,Euro_2,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Other,Not-in-family,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
Age > 48.00,Private,Associates,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Self-emp-inc,Masters,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Prof-School,Married,Professional,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,State-gov,High School grad,Never-Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,State-gov,High School grad,Never-Married,White-Collar,Own-child,None,None,Hours per week > 45.00,United-States,"Less than $50
28.00 < Age <= 37.00,Self-emp-inc,High School grad,Married,Sales,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Sales,Husband,High,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Masters,Separated,White-Collar,Not-in-family,High,None,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Private,Dropout,Never-Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,Professional,Not-in-family,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Federal-gov,Associates,Separated,Admin,Unmarried,None,High,Hours per week <= 40.00,SE-Asia,"Less than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,Professional,Husband,None,High,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Admin,Own-child,None,High,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,None,None,Hours per week > 45.00,United-States,"Less than $50
Age > 48.00,Federal-gov,High School grad,Married,Admin,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,Professional,Husband,None,High,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Separated,Other,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Service,Wife,Low,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,Bachelors,Separated,Professional,Not-in-family,High,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,Sales,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,Other,Husband,High,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
Age <= 28.00,Self-emp-not-inc,High School grad,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Self-emp-inc,Bachelors,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-inc,Bachelors,Married,Sales,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-not-inc,Bachelors,Married,White-Collar,Husband,None,None,40.00 < Hours per week <= 45.00,China,"More than $50
37.00 < Age <= 48.00,Private,Prof-School,Separated,Professional,Not-in-family,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age <= 28.00,State-gov,Associates,Never-Married,Professional,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,State-gov,Bachelors,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Admin,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Bachelors,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,British-Commonwealth,"Less than $50
28.00 < Age <= 37.00,Self-emp-inc,Bachelors,Never-Married,White-Collar,Not-in-family,None,None,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Private,Bachelors,Never-Married,Service,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Masters,Married,Professional,Husband,None,None,Hours per week <= 40.00,British-Commonwealth,"Less than $50
37.00 < Age <= 48.00,Private,Associates,Married,Service,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
Age > 48.00,Federal-gov,High School grad,Married,Admin,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Admin,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Self-emp-not-inc,High School grad,Separated,Service,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Associates,Never-Married,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,Associates,Never-Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,Professional,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Separated,Sales,Not-in-family,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,State-gov,High School grad,Separated,Service,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Separated,Sales,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Service,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Sales,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,Bachelors,Never-Married,Professional,Not-in-family,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
Age > 48.00,Self-emp-not-inc,Doctorate,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,Bachelors,Never-Married,Other,Not-in-family,Low,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Local-gov,Dropout,Married,Other,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Bachelors,Separated,Professional,Not-in-family,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age > 48.00,Private,Dropout,Widowed,Service,Not-in-family,None,None,Hours per week <= 40.00,Latin-America,"Less than $50
Age <= 28.00,Private,Dropout,Never-Married,Service,Other-relative,None,None,Hours per week > 45.00,Latin-America,"Less than $50
28.00 < Age <= 37.00,State-gov,Masters,Married,Professional,Wife,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Masters,Married,White-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Masters,Married,White-Collar,Husband,None,High,40.00 < Hours per week <= 45.00,Euro_1,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Separated,Sales,Other-relative,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Dropout,Widowed,Service,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,Other,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Masters,Married,White-Collar,Wife,None,High,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Separated,White-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Blue-Collar,Other-relative,None,None,Hours per week <= 40.00,Latin-America,"Less than $50
37.00 < Age <= 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,Low,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Self-emp-not-inc,Bachelors,Separated,Blue-Collar,Not-in-family,High,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Other,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Local-gov,Prof-School,Never-Married,Professional,Not-in-family,High,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,Dropout,Never-Married,Sales,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Self-emp-inc,High School grad,Married,White-Collar,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Admin,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Federal-gov,High School grad,Married,Admin,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,SE-Asia,"Less than $50
Age > 48.00,Private,High School grad,Separated,Sales,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Masters,Married,Professional,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Masters,Married,White-Collar,Husband,None,High,40.00 < Hours per week <= 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,Professional,Husband,None,None,Hours per week <= 40.00,SE-Asia,"More than $50
Age <= 28.00,Private,Dropout,Never-Married,Service,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Self-emp-inc,High School grad,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,Blue-Collar,Unmarried,Low,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Local-gov,Associates,Married,Other,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Service,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Dropout,Married,Service,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,Associates,Never-Married,Other,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Self-emp-not-inc,Bachelors,Married,Sales,Husband,None,Low,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Service,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,State-gov,Masters,Married,White-Collar,Husband,Low,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Local-gov,High School grad,Married,Blue-Collar,Wife,Low,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,Associates,Separated,Admin,Unmarried,Low,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,Admin,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,Sales,Not-in-family,None,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,Low,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,White-Collar,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Local-gov,High School grad,Married,Other,Husband,None,Low,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Federal-gov,Bachelors,Married,White-Collar,Husband,Low,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,South-America,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Sales,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,None,Low,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Federal-gov,Bachelors,Married,Admin,Husband,Low,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Private,Dropout,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,State-gov,High School grad,Married,Other,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,State-gov,Doctorate,Married,Professional,Husband,None,None,Hours per week <= 40.00,China,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Separated,Admin,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,State-gov,High School grad,Separated,White-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Local-gov,Bachelors,Married,Professional,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Dropout,Separated,Blue-Collar,Not-in-family,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Married,White-Collar,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
28.00 < Age <= 37.00,Self-emp-not-inc,Prof-School,Married,Sales,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Self-emp-not-inc,High School grad,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
Age > 48.00,Private,Dropout,Widowed,Service,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,Sales,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,State-gov,High School grad,Married,White-Collar,Wife,Low,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,Associates,Married,Blue-Collar,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Admin,Wife,None,None,Hours per week > 45.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Dropout,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,Latin-America,"Less than $50
28.00 < Age <= 37.00,Self-emp-inc,Masters,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Local-gov,High School grad,Married,Other,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Associates,Never-Married,Professional,Not-in-family,None,Low,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,Dropout,Never-Married,Service,Other-relative,None,None,Hours per week <= 40.00,SE-Asia,"Less than $50
37.00 < Age <= 48.00,Local-gov,High School grad,Married,Other,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Federal-gov,Associates,Married,Professional,Wife,None,None,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Private,Dropout,Never-Married,Admin,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Associates,Separated,Admin,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Self-emp-inc,Associates,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Dropout,Married,Service,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Local-gov,High School grad,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,State-gov,Associates,Married,Sales,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,Low,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Local-gov,High School grad,Separated,Professional,Not-in-family,None,Low,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Self-emp-not-inc,Bachelors,Married,Professional,Husband,Low,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-inc,Prof-School,Married,Professional,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Private,Masters,Separated,White-Collar,Not-in-family,None,High,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,None,None,Hours per week > 45.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Associates,Separated,Other,Not-in-family,Low,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Self-emp-inc,Prof-School,Married,Professional,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Masters,Married,White-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Other,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Masters,Separated,White-Collar,Unmarried,High,None,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,State-gov,Bachelors,Never-Married,Professional,Not-in-family,High,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,Dropout,Never-Married,Sales,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Associates,Never-Married,Admin,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Wife,None,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,White-Collar,Not-in-family,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Masters,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,Other,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Local-gov,High School grad,Separated,White-Collar,Not-in-family,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Self-emp-not-inc,Doctorate,Married,Professional,Husband,None,None,Hours per week > 45.00,British-Commonwealth,"Less than $50
37.00 < Age <= 48.00,Private,Dropout,Married,Service,Husband,None,None,Hours per week <= 40.00,Latin-America,"Less than $50
Age > 48.00,Private,Dropout,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Service,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Masters,Separated,Sales,Not-in-family,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Other,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Sales,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Masters,Separated,White-Collar,Not-in-family,High,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-inc,High School grad,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,Low,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age > 48.00,Private,Dropout,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,Low,Hours per week > 45.00,United-States,"Less than $50
Age > 48.00,Local-gov,High School grad,Separated,Other,Unmarried,Low,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Federal-gov,High School grad,Separated,Admin,Not-in-family,None,None,Hours per week <= 40.00,United-States,"More than $50
